id,categories,description
196,Electoral Organization,"In order to consolidate democracy and contribute to good governance, there is need to strengthen civic education programs at all levels in the school system."
196,Electoral Organization,"Civil society should play a proactive role in supporting the campaign process. As previously mentioned, the Mission applauds the efforts of the Social Partners in formulating a code of conduct for the elections. Other activities could include voter motivation “get-out-the-vote” campaigns or candidate debates."
196,Electoral Organization,There is need to standardize the physical layout of voting stations in order to expedite the voting process.
196,Electoral Organization,"The Government of Grenada and the Parliamentary Elections Office should consider a system of continuous registration to ensure that the voter registry is up-to-date and accurate. The number of registered voters on the list (73,673), when compared to the total population of approximately 96,000 appears high. Moreover, by implementing a continuous registration system, those voters who reach voting age before elections could be more easily included in the registry. A continuous registration system would facilitate the publication of an updated voter’s list regardless of the date of elections. The civil registry, if integrated with this system, could also serve as a useful source of demographic information for social and economic policy and planning."
196,Electoral Organization,"While time did not permit the OAS Electoral Observation Mission to conduct an analysis of media access during the elections, it believes, however, that a systematized allocation of media time positively contributes to the electoral process. The political parties in the country should study the options available to them to implement a system that assures at least minimal access to prime air time."
196,"Electoral Organization, Under Represented Groups",Special consideration should be given to the needs of the elderly and the disabled voters.
188,Electoral Justice,"El trámite de las denuncias, y la penalización de las conductas delictivas mediante una adecuada dosificación de la pena, constituye una de las garantías que el Estado otorga al ciudadano en el marco del proceso electoral. Sin embargo, para una adecuada penalización, se requiere de una clara tipificación, en donde la descripción de una conducta que constituya delito sea expresada sinequívocos, ambigüedades o generalidades. En el Código Penal de Guatemala no existe mayor detalle sobre los delitos electorales (los mismos son tratados en sólo cuatro artículos). Ello tiene como resultado que hechos graves pueden quedar valorados como simples faltas electorales, con sanciones pecuniarias irrisorias o simples requerimientos. Por lo anterior, la Misión recomienda considerar la posibilidad de adoptar una tipificación precisa de los delitos electorales, un trámite propio y una jurisdicción especi"
188,Electoral Organization,"Integración del registro único de personas, la expedición del documento único de identidad y la elaboración y actualización automática del padrón electoral en un sistema único."
304,Electoral Organization,"Realizar actividades de capacitación y educación cívica en materia electoral, utilizando los idiomas, dialectos y medios propios de las comunidades indígenas, quienes requieren tener un conocimiento mas objetivo e institucional del sistema electoral panameño, específicamente en lo concerniente a la mecánica del voto, las características del proceso y de los beneficios de la participación ciudadana, tanto como elector, así como para integrarse activamente en una organización política."
304,Electoral Organization,"Perfeccionar el sistema de credenciales a los partidos ya que es habitual que algunos partidos carezcan de esta documentación el día de las elecciones. En este sentido establecer un mecanismo eficiente para la acreditación de los representantes partidarios, que garantice agilidad en su expedición y utilización, atendiendo a la posibilidad de que los niveles provinciales del Tribunal Electoral tengan potestad y autonomía para decidir la viabilidad y la emisión de las mismas"
304,Electoral Organization,Reglamentar la función de asistencia a los votantes por parte de terceras personas
304,Electoral Organization,Efectuar verificaciones del padrón electoral en las provincias que tienen nuevos distritos y/o en las cuales se registran procesos de migración interna importante.
304,"Electoral Organization, Political and Legal Systems",Flexibilizar los procedimientos para la inscripción de candidaturas independientes.
201,Electoral Technology,"Implementar un procedimiento de certificación y control automatizado de la integridad del programa de selección de la muestra a auditar, de modo que se asegure que dicho programa, (previamente verificado por los entes pertinentes, tales como la Auditoría Interna del CNE), no ha sido modificado, ni total ni parcialmente, desde el momento de su validación hasta el momento de su uso. Para ello, y a modo de ejemplo, se pueden utilizar algoritmos estándar de verificación de integridad como los incorporados en el programa VALIDATE.EXE, componente del programa antivirus de McAffee. Asimismo, dada la susceptibilidad expuesta por una computadora personal, que es donde se ejecuta el programa de muestreo, es conveniente adoptar mecanismos de seguridad adicionales para proteger también la microcomputadora y el software de base residente en la misma. Controles de integridad, semejantes a los sugeridos para el programa de selección de la muestra, pueden ser aplicados directamente a los archivos / programas especiales de carga del sistema operativo y al mismo sistema operativo y módulos complementarios."
286,Electoral Organization,"Continuar con los programas de capacitación de los inspectores y facilitadores, de las JME, de los Colegios y de los delegados de los partidos políticos. Estos procesos de capacitación evitarán, en el futuro, los casos de confusión o desconocimiento de algunos procedimientos (inscripción de votantes - escrutinio y conteo de votos especialmente) y el consiguiente retraso de las diferentes etapas de la jornada electoral"
286,Electoral Organization,Efectuar una revisión de la composición de los Colegios Electorales con el propósito de evitar aglomeramiento y desorden en los recintos.
286,Electoral Organization,"Firmar con la Secretaría General de la OEA el Acuerdo sobre los Procedimientos de la Misión a fin de facilitarle el cumplimiento de las labores. La firma del documento en forma anticipada al desplazamiento de la Misión y su amplia divulgación entre todos los funcionarios electorales del país resulta un mecanismo útil para lograr el monitoreo minucioso de las distintas etapas del proceso, en particular, las vinculadas con aspectos técnico-informáticos."
286,Electoral Organization,Agilizar los procesos de designación y entrega de credenciales a los integrantes de los Colegios Electorales y de los delegados de los partidos políticos.
286,Electoral Organization,"Estudiar la conveniencia de modificar el sistema de votación eliminando los procesos de inscripción y votación por sexo, lo cual definitivamente le imprime un componente adicional de complejidad y especialmente de retraso a la jornada electoral. Debería reflexionarse sobre la figura del “Colegio Cerrado” porque su deficiente implementación (como ocurrió en muchos centros de votación) constituye un verdadero castigo al ciudadano. Teniendo en cuenta que el sistema tiene rango constitucional, en caso de no ser revisado, deberían buscarse formas flexibles de aplicación y de estricto cumplimiento por las autoridades electorales y de seguridad el día de los comicios."
286,"Electoral Organization, Electoral Technology","Contar con infraestructura para la consulta de información en línea de resultados obtenida por las Juntas: debería ser automáticamente presentada en detalle a nivel acta para los partidos, prensa y observadores electorales, también en detalle y en resumen por distribución geográfica por Internet."
220,Electoral Organization,"1. El tratamiento de las impugnaciones debe ser sistemático, público y transparente. Las autoridades comunales y departamentales deben estar dispuestas a recibir las impugnaciones dentro del plazo estipulado por la ley, debe examinarlas debidamente y pronunciarse. Si la impugnación de un puesto departamental es enviada al CEP para su examen, los denunciantes deben ser informados de ello con una explicación detallada del proceso que se seguirá en el CEP. 2. El proceso de selección de los escrutadores debe ser más transparente. Por ejemplo, se podría realizar una sesión pública para su elección al azar. Como mínimo, la lista de escrutadores debe identificar claramente su filiación política para que las partes interesadas y los grupos de observación puedan controlar el respeto a la justa representación de todos los partidos políticos. Esta lista debe hacerse pública con considerable anticipación al día de las elecciones. 3. Las papeletas deben estar numeradas a impresas en papel especial para facilitar la distribución y el control. Las papeletas de todos los puestos deben tener franjas de color para evitar la duplicación. 4. La asistencia que se presta a votantes analfabetos debe estar más claramente reglamentada a fin de evitar la presión en los electores y los delegados observadores. 5. Los registros de votación deben incluir una copia a carbónico o química, para producir varias copias y garantizar su autenticidad."
327,Electoral Justice,"Fortalecer el sistema de sanciones para las violaciones a la ley electoral, tanto en el campo penal como en el administrativo y velar porque éstas se hagan efectivas para evitar la impunidad en la sanción de los delitos electorales."
327,Electoral Organization,"Agilizar el procedimiento de conteo oficial de votos y su conocimiento público a fin de evitar la incertidumbre y la manipulación política. Ello contribuirá sin duda alguna a que los adelantos que en materia de organización electoral se observaron en el TSJE, sean consecuentes con la expedición rápida, oportuna y confiable de los resultados electorales oficiales al 100%."
205,Electoral Organization,"Once again in 2001, the Elections Commission made a number of late decisions and announcements, including the delayed closing of polling stations. Such decisions are extremely disruptive and do damage to the credibility of the process. They should be avoided at all costs."
205,Electoral Organization,"The high voter turnout demonstrates that people are fully aware of the importance of fulfilling their civic duty. Despite the troubling history of elections, they continue to believe that their will can be reflected in electoral outcomes. However, the continuing reality of electoral administration does not appear to be changing perceptibly. Greater efforts must be made to improve the administration of elections and thereby reduce the number of difficulties, procedural shortcomings, and irregularities that create suspicion and undermine the credibility of the process. These efforts should begin immediately, to allow the maximum possible time for their implementation prior to the next elections."
205,Electoral Organization,"The Mission is of the view that statutory arrangements or timely decisions regarding the number and location of polling stations would have alleviated many problems experienced by potential voters during the 2001 elections. Similarly, the early release of guidelines or of information on the procedures for addressing omissions of voters’ names from the lists of voters at polling stations would have been immensely helpful."
